dataset,cenario,detector,tipo,n,rank_no_tipo,feature,mdi
pamap2_chest,drift,GeometricMovingAverage,score,13,7,score_chest_gyro_x,0.032272
pamap2_chest,drift,GeometricMovingAverage,score,13,8,score_chest_mag_y,0.03025
pamap2_chest,drift,GeometricMovingAverage,score,13,9,score_chest_mag_x,0.011018
pamap2_chest,drift,GeometricMovingAverage,score,13,10,score_chest_gyro_z,0.006018
pamap2_chest,drift,GeometricMovingAverage,score,13,11,score_chest_acc16_x,0.004123
pamap2_chest,drift,GeometricMovingAverage,score,13,12,score_chest_acc6_x,0.00378
pamap2_chest,drift,GeometricMovingAverage,score,13,13,score_chest_temperature,0.003595
pamap2_chest,drift,GeometricMovingAverage,original,13,1,chest_mag_y,0.0305
pamap2_chest,drift,GeometricMovingAverage,original,13,2,chest_acc16_z,0.029081
pamap2_chest,drift,GeometricMovingAverage,original,13,3,chest_acc6_z,0.021934
pamap2_chest,drift,GeometricMovingAverage,original,13,4,chest_mag_z,0.015297
pamap2_chest,drift,GeometricMovingAverage,original,13,5,chest_mag_x,0.012179
pamap2_chest,drift,GeometricMovingAverage,original,13,6,chest_acc16_y,0.01043
pamap2_chest,drift,GeometricMovingAverage,original,13,7,chest_acc6_y,0.008695
pamap2_chest,drift,GeometricMovingAverage,original,13,8,chest_temperature,0.006019
pamap2_chest,drift,GeometricMovingAverage,original,13,9,chest_gyro_y,0.001062
pamap2_chest,drift,GeometricMovingAverage,original,13,10,chest_acc6_x,0.000356
pamap2_chest,drift,GeometricMovingAverage,original,13,11,chest_acc16_x,0.00034
pamap2_chest,drift,GeometricMovingAverage,original,13,12,chest_gyro_x,6e-06
pamap2_chest,drift,GeometricMovingAverage,original,13,13,chest_gyro_z,3e-06
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,1,score_chest_acc6_y,0.060399
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,2,score_chest_acc16_y,0.054673
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,3,score_chest_acc16_z,0.052162
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,4,score_chest_acc6_z,0.050028
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,5,score_chest_mag_z,0.041599
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,6,score_chest_gyro_y,0.0193
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,7,score_chest_gyro_x,0.017858
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,8,score_chest_mag_y,0.011537
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,9,score_chest_mag_x,0.002332
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,10,score_chest_acc6_x,0.000768
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,11,score_chest_acc16_x,0.000494
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,12,score_chest_gyro_z,0.000479
pamap2_chest,catch24_drift,GeometricMovingAverage,score,13,13,score_chest_temperature,0.000318
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,1,chest_acc6_y__SD,0.025398
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,2,chest_acc16_y__SD,0.024535
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,3,chest_mag_y__mean,0.022112
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,4,chest_acc6_z__mean,0.021651
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,5,chest_acc16_z__mean,0.01943
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,6,chest_mag_z__mean,0.019215
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,7,chest_mag_x__mean,0.016769
